ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
1022167695,FIESTA 2011/2012 1.0 MPI HATCH 8V FLEX 4P MANUAL,112.481 km  |  Câmbio: Manual  |  Flex  |  ,R$ 26.900,"Maceió, Tabuleiro do Martins - DDD 82","Hoje, 15:38",https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/fiesta-2011-2012-1-0-mpi-hatch-8v-flex-4p-manual-1022167695,2022-05-03,,,2012
1028094545,Citroën C3 ,9 km  |  Câmbio: Manual  |  Flex  |  ,R$ 14.500,"Maceió, Cidade Universitária - DDD 82","Hoje, 15:37",https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/citroen-c3-1028094545,2022-05-03,,,2007
1028094357,Caoa Tiggo 5x T 1.5 turbo 2020,18.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 98.000,"Maceió, Cruz das Almas - DDD 82","Hoje, 15:37",https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/caoa-tiggo-5x-t-1-5-turbo-2020-1028094357,2022-05-03,,,2020
1022273002,COROLLA 2019/2019 1.8 GLI UPPER 16V FLEX 4P AUTOMÁTICO,71.132 km  |  Câmbio: Automático  |  Flex  |  ,R$ 98.800,"Maceió, Gruta de Lourdes - DDD 82","Hoje, 15:35",https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/corolla-2019-2019-1-8-gli-upper-16v-flex-4p-automatico-1022273002,2022-05-03,,,2019
938495920,PRISMA 2019/2019 1.4 MPFI LT 8V FLEX 4P MANUAL,51.242 km  |  Câmbio: Manual  |  Flex  |  ,R$ 67.690,"Maceió, Tabuleiro do Martins - DDD 82","Hoje, 15:35",https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/prisma-2019-2019-1-4-mpfi-lt-8v-flex-4p-manual-938495920,2022-05-03,,,2019
1028093405,Palio way 2015,71.899 km  |  Câmbio: Manual  |  Flex  |  ,R$ 33.500,"Arapiraca, Sen Nilo Coelho - DDD 82","Hoje, 15:34",https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/palio-way-2015-1028093405,2022-05-03,,,
1028093328,Celta,146.000 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 9.000,"Maceió, Clima Bom - DDD 82","Hoje, 15:34",https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/celta-1028093328,2022-05-03,,,2003
1014617605,GM TRACKER PREMIER 1.0 TURBO,32.085 km  |  Câmbio: Automático  |  Flex  |  ,R$ 119.990,"Maceió, Santo Amaro - DDD 82","Hoje, 15:33",https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/gm-tracker-premier-1-0-turbo-1014617605,2022-05-03,,,2021
1018744936,Vw Gol Trend 1.0 completo ,120.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 27.990,"Maceió, Farol - DDD 82","Hoje, 15:30",https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vw-gol-trend-1-0-completo-1018744936,2022-05-03,,,2011
1028090222,Gol 2017 ,117.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 41.500,Novo Lino - DDD 82,"Hoje, 15:26",https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/gol-2017-1028090222,2022-05-03,,,2017
