ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
1028094143,SW4 SRX 2016 EXTRA,77.000 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 259.900,"Macapá, Pacoval - DDD 96","Hoje, 15:36",https://ap.olx.com.br/amapa/autos-e-pecas/carros-vans-e-utilitarios/sw4-srx-2016-extra-1028094143,2022-05-03,,,2016
1028085593,Nissan Kicks SL 1.6 5P,79.158 km  |  Câmbio: Automático  |  Flex  |  ,R$ 94.990,"Macapá, Central - DDD 96","Hoje, 15:13",https://ap.olx.com.br/amapa/autos-e-pecas/carros-vans-e-utilitarios/nissan-kicks-sl-1-6-5p-1028085593,2022-05-03,,,2018
1028082897,Hilux 2012 Srv Diesel Automática ,0 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 125.000,"Macapá, Buritizal - DDD 96","Hoje, 15:08",https://ap.olx.com.br/amapa/autos-e-pecas/carros-vans-e-utilitarios/hilux-2012-srv-diesel-automatica-1028082897,2022-05-03,,,2012
932930577,VENDO UMA LINDA GM MONTANA LS COMPLETA 89MIL KM 2017 / 2018,89.563 km  |  Câmbio: Manual  |  Flex  |  ,R$ 51.900,"Macapá, Central - DDD 96","Hoje, 14:52",https://ap.olx.com.br/amapa/autos-e-pecas/carros-vans-e-utilitarios/vendo-uma-linda-gm-montana-ls-completa-89mil-km-2017-2018-932930577,2022-05-03,,,
1028072084,Repasse de gol 2019 modelo 2020 1.0,58.000 km  |  ,R$ 30.000,"Macapá, Jardim Felicidade - DDD 96","Hoje, 14:50",https://ap.olx.com.br/amapa/autos-e-pecas/carros-vans-e-utilitarios/repasse-de-gol-2019-modelo-2020-1-0-1028072084,2022-05-03,,,
1027409050,Polo Highline 200 TSI 1.0 Flex 12V Aut.,9.996 km  |  Câmbio: Automático  |  Flex  |  ,R$ 99.000,"Macapá, Buritizal - DDD 96","Hoje, 14:46",https://ap.olx.com.br/amapa/autos-e-pecas/carros-vans-e-utilitarios/polo-highline-200-tsi-1-0-flex-12v-aut-1027409050,2022-05-03,,,2020
1028054221,vendo. troco,196 km  |  Câmbio: Manual  |  Flex  |  ,R$ 15.000,"Santana, Fonte Nova - DDD 96","Hoje, 14:04",https://ap.olx.com.br/amapa/autos-e-pecas/carros-vans-e-utilitarios/vendo-troco-1028054221,2022-05-03,,,2010
1028046863,Fox que anda,140.000 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 35.000,"Macapá, São José - DDD 96","Hoje, 13:53",https://ap.olx.com.br/amapa/autos-e-pecas/carros-vans-e-utilitarios/fox-que-anda-1028046863,2022-05-03,,,2012
1028035479,Saveiro Cross 2019 TOP DE LINHA,47.398 km  |  Câmbio: Manual  |  Flex  |  ,R$ 85.000,Macapá - DDD 96,"Hoje, 13:21",https://ap.olx.com.br/amapa/autos-e-pecas/carros-vans-e-utilitarios/saveiro-cross-2019-top-de-linha-1028035479,2022-05-03,,,2019
999140998,"Smart Veículos - Chevrolet Onix LTZ 1.0 TB FLEX AUT, 2020/2021 R$ 88.900,00",7.052 km  |  Câmbio: Automático  |  Flex  |  ,R$ 88.900,"Macapá, Muca - DDD 96","Hoje, 12:39",https://ap.olx.com.br/amapa/autos-e-pecas/carros-vans-e-utilitarios/smart-veiculos-chevrolet-onix-ltz-1-0-tb-flex-aut-2020-2021-r-88-900-00-999140998,2022-05-03,,,2018
