ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
1028211161,Silverado 99.28 mil,0 km  |  Câmbio: Manual  |  Diesel  |  ,R$ 28.000,"Maracanaú, Pajuçara - DDD 85","Hoje, 21:09",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/silverado-99-28-mil-1028211161,2022-05-04,,ce,
1026520834,Nissan Kicks SL CVT 2019,32.124 km  |  Câmbio: Automático  |  Flex  |  ,R$ 103.900,"Fortaleza, Tauape - DDD 85","Hoje, 21:08",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/nissan-kicks-sl-cvt-2019-1026520834,2022-05-04,,ce,2019
1016380244,HRV 2016 LX 1.8 Flex! ,85.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 86.900,"Fortaleza, Salinas - DDD 85","Hoje, 21:08",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hrv-2016-lx-1-8-flex-1016380244,2022-05-04,,ce,2016
964674083,Hilux SW4 SRX 2019 Diesel. ,62.000 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 305.900,"Fortaleza, Salinas - DDD 85","Hoje, 21:08",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hilux-sw4-srx-2019-diesel-964674083,2022-05-04,,ce,2019
999438981,MITSUBISHI PAJERO DAKAR HPE 3.2 4x4 T.I Dies 5p Aut,61.605 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 169.900,"Fortaleza, Eng Luciano Cavalcante - DDD 85","Hoje, 21:08",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/mitsubishi-pajero-dakar-hpe-3-2-4x4-t-i-dies-5p-aut-999438981,2022-05-04,,ce,2015
1005004091,JEEP RENEGADE Longitude 1.8 4x2 Flex 16V Aut.,50.979 km  |  Câmbio: Automático  |  Flex  |  ,R$ 85.900,"Fortaleza, Eng Luciano Cavalcante - DDD 85","Hoje, 21:08",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-longitude-1-8-4x2-flex-16v-aut-1005004091,2022-05-04,,ce,2016
1028210223,STRADA 1.4 2008 BÁSICA ,59.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 31.900,"Fortaleza, Bela Vista - DDD 85","Hoje, 21:07",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/strada-1-4-2008-basica-1028210223,2022-05-04,,ce,2008
1028209922,strada working 1.4 cabine dupla completa 13/13 imperdível,95.700 km  |  Câmbio: Manual  |  Flex  |  ,R$ 51.500,"Fortaleza, Jangurussu - DDD 85","Hoje, 21:07",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/strada-working-1-4-cabine-dupla-completa-13-13-imperdivel-1028209922,2022-05-04,,ce,2013
948822373,UTV CAN AM MAVERICK X3 RS 2017 1.000 TURBO INTERCOOLER,17.000 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 89.990,"Fortaleza, Engenheiro Luciano Cavalcante - DDD 85","Hoje, 21:07",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/utv-can-am-maverick-x3-rs-2017-1-000-turbo-intercooler-948822373,2022-05-04,,ce,2017
997911324,Gm Onix Active 1.4 manual 2018/2019,36.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 70.900,"Fortaleza, Aldeota - DDD 85","Hoje, 21:07",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gm-onix-active-1-4-manual-2018-2019-997911324,2022-05-04,,ce,2018
1004086631,Prisma ltz 1.4 ,71.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 63.990,"Fortaleza, Aldeota - DDD 85","Hoje, 21:07",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/prisma-ltz-1-4-1004086631,2022-05-04,,ce,2018
