ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
1015351224,CHEVROLET CRUZE 1.4 TURBO LT 16V FLEX 4P AUTOMÁTICO,98.650 km  |  Câmbio: Automático  |  Flex  |  ,R$ 86.900,"Brasília, Asa Norte - DDD 61","Hoje, 21:37",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-cruze-1-4-turbo-lt-16v-flex-4p-automatico-1015351224,2022-05-04,,df,2018
900225344,ONIX 2017/2018 1.0 MPFI JOY 8V FLEX 4P MANUAL,49.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 49.900,"Brasília, Zona Industrial (Guará) - DDD 61","Hoje, 21:37",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/onix-2017-2018-1-0-mpfi-joy-8v-flex-4p-manual-900225344,2022-05-04,,df,2018
1026125394,Novo Onix Premier 2023,0 km  |  Câmbio: Automático  |  Flex  |  ,R$ 99.990,"Brasília, Zona Industrial (Guará) - DDD 61","Hoje, 21:37",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/novo-onix-premier-2023-1026125394,2022-05-04,,df,2023
1020032417,Novo Cruze RS turbo 153CV,0 km  |  Câmbio: Automático  |  ,R$ 147.000,"Brasília, Zona Industrial (Guará) - DDD 61","Hoje, 21:37",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/novo-cruze-rs-turbo-153cv-1020032417,2022-05-04,,df,2022
1028227002,D10 1980 DIESEL OTIMO ESTADO!!!,189.556 km  |  Câmbio: Manual  |  Diesel  |  ,R$ 45.000,"Brasília, Taguatinga Norte (Taguatinga) - DDD 61","Hoje, 21:37",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/d10-1980-diesel-otimo-estado-1028227002,2022-05-04,,df,1980
973853622,Honda Fit Ex 1.5 16V Flex,106.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 68.900,"Brasília, Sobradinho - DDD 61","Hoje, 21:36",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/honda-fit-ex-1-5-16v-flex-973853622,2022-05-04,,df,2016
1026158382,Amarok v6 2018,98.000 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 207.900,"Brasília, Setor Habitacional Vicente Pires - Trecho 3 - DDD 61","Hoje, 21:36",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/amarok-v6-2018-1026158382,2022-05-04,,df,2018
1028226213,Gol G7 2017 Trendline Completo ,100.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 40.000,"Brasília, Asa Sul - DDD 61","Hoje, 21:36",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-g7-2017-trendline-completo-1028226213,2022-05-04,,df,
1028196782,Troco por Van executiva ,40.000 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 80.000,"Brasília, Ponte Alta Norte (Gama) - DDD 61","Hoje, 21:35",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/troco-por-van-executiva-1028196782,2022-05-04,,df,2018
1028225707,Golf sportline ,89.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 55.000,"Brasília, Park Way - DDD 61","Hoje, 21:35",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/golf-sportline-1028225707,2022-05-04,,df,2012
1010841610,Rexton 2.7 Diesel 4x4 Com Teto Solar,250.000 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 55.900,"Brasília, Setor Leste (Gama) - DDD 61","Hoje, 21:35",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/rexton-2-7-diesel-4x4-com-teto-solar-1010841610,2022-05-04,,df,2008
