ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
994165000,Kwid zen 1.0  19/19,63.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 44.990,"São Luís, Calhau - DDD 98","Hoje, 23:14",https://ma.olx.com.br/regiao-de-sao-luis/autos-e-pecas/carros-vans-e-utilitarios/kwid-zen-1-0-19-19-994165000,2022-05-04,,ma,2019
1024967075,Palio Attractive 1.0 2017 . carro bem conservado sem detalhes,90.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 46.000,"São Luís, Cohatrac III - DDD 98","Hoje, 23:04",https://ma.olx.com.br/regiao-de-sao-luis/autos-e-pecas/carros-vans-e-utilitarios/palio-attractive-1-0-2017-carro-bem-conservado-sem-detalhes-1024967075,2022-05-04,,ma,2017
976024833,FORD KA 2019/2020 1.0 TI-VCT FLEX SE MANUAL,39.155 km  |  Câmbio: Manual  |  Flex  |  ,R$ 54.900,"Imperatriz, Centro - DDD 99","Hoje, 23:00",https://ma.olx.com.br/regiao-de-imperatriz-e-caxias/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2019-2020-1-0-ti-vct-flex-se-manual-976024833,2022-05-04,,ma,2020
995407690,CHEVROLET ONIX 2020/2020 1.0 FLEX LT MANUAL,61.819 km  |  Câmbio: Manual  |  Flex  |  ,R$ 72.150,"Imperatriz, Centro - DDD 99","Hoje, 23:00",https://ma.olx.com.br/regiao-de-imperatriz-e-caxias/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2020-2020-1-0-flex-lt-manual-995407690,2022-05-04,,ma,2020
1028237587,"Yares way 2019 - R$ 88.000,00",59.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 88.000,"São Luís, Anil - DDD 98","Hoje, 22:57",https://ma.olx.com.br/regiao-de-sao-luis/autos-e-pecas/carros-vans-e-utilitarios/yares-way-2019-r-88-000-00-1028237587,2022-05-04,,ma,2019
994028859,TOYOTA HILUX 2.8 SRX 4X4 CD 16V DIESEL 4P AUTOMÁTICO,100.824 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 265.990,Balsas - DDD 99,"Hoje, 22:55",https://ma.olx.com.br/regiao-de-imperatriz-e-caxias/autos-e-pecas/carros-vans-e-utilitarios/toyota-hilux-2-8-srx-4x4-cd-16v-diesel-4p-automatico-994028859,2022-05-04,,ma,2019
1028264615,Corolla XEI 2.0,127.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 69.500,São Luís - DDD 98,"Hoje, 22:55",https://ma.olx.com.br/regiao-de-sao-luis/autos-e-pecas/carros-vans-e-utilitarios/corolla-xei-2-0-1028264615,2022-05-04,,ma,2017
1028264013,Hilux 2.5 manual 2012 completona,150.000 km  |  Câmbio: Manual  |  Diesel  |  ,R$ 111.000,Tutóia - DDD 98,"Hoje, 22:53",https://ma.olx.com.br/regiao-de-sao-luis/autos-e-pecas/carros-vans-e-utilitarios/hilux-2-5-manual-2012-completona-1028264013,2022-05-04,,ma,2012
1028263616,Corsa Wind 1999 ,1.111.111 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 25.000,"São Luís, Cohatrac - DDD 98","Hoje, 22:52",https://ma.olx.com.br/regiao-de-sao-luis/autos-e-pecas/carros-vans-e-utilitarios/corsa-wind-1999-1028263616,2022-05-04,,ma,1999
1028262768,Citroen C4 GLX,110.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 20.000,São José de Ribamar - DDD 98,"Hoje, 22:50",https://ma.olx.com.br/regiao-de-sao-luis/autos-e-pecas/carros-vans-e-utilitarios/citroen-c4-glx-1028262768,2022-05-04,,ma,
1028261725,Kia Picanto ,15.500 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 27.000,"São Luís, Vila dos Nobres - DDD 98","Hoje, 22:46",https://ma.olx.com.br/regiao-de-sao-luis/autos-e-pecas/carros-vans-e-utilitarios/kia-picanto-1028261725,2022-05-04,,ma,2009
