ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
1028280922,Fusca 1980 RS17.000,100 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 17.000,"Belo Horizonte, Casa Branca - DDD 31","Hoje, 01:38",https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fusca-1980-rs17-000-1028280922,2022-05-04,,mg,1980
1028280838,"Vende-se, Troca, Financia.",76.900 km  |  Câmbio: Manual  |  Flex  |  ,R$ 45.900,"Patos de Minas, Jardim Panorâmico - DDD 34","Hoje, 01:38",https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/autos-e-pecas/carros-vans-e-utilitarios/vende-se-troca-financia-1028280838,2022-05-04,,mg,2017
1028279912,Palio Weekend Adventure 2014,112.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 49.900,"Belo Horizonte, Estoril - DDD 31","Hoje, 01:31",https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/palio-weekend-adventure-2014-1028279912,2022-05-04,,mg,2014
1028279889,Renault Sandero 2011,126.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 26.590,"Belo Horizonte, Ouro Preto - DDD 31","Hoje, 01:31",https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renault-sandero-2011-1028279889,2022-05-04,,mg,2011
1028279749,Siena 09/10,195 km  |  Câmbio: Manual  |  Flex  |  ,R$ 25.000,"Belo Horizonte, Juliana - DDD 31","Hoje, 01:31",https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/siena-09-10-1028279749,2022-05-04,,mg,2009
1028279649,Saveiro G3 vermelha,300 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 22.000,São José da Lapa - DDD 31,"Hoje, 01:31",https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/saveiro-g3-vermelha-1028279649,2022-05-04,,mg,2001
1028279245,Gol G 7 ,98.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 44.900,"Ribeirão das Neves, Tony (Justinópolis) - DDD 31","Hoje, 01:25",https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-g-7-1028279245,2022-05-04,,mg,2019
1028278911,Chevrolet GM S10 LTZ 2.4 Branco,111.327 km  |  Câmbio: Manual  |  Flex  |  ,R$ 94.990,"Uberlândia, Santa Mônica - DDD 34","Hoje, 01:24",https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-gm-s10-ltz-2-4-branco-1028278911,2022-05-04,,mg,
1028278699,Corolla GLI ano 2012,120.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 54.000,Pompéu - DDD 37,"Hoje, 01:23",https://mg.olx.com.br/regiao-de-divinopolis/autos-e-pecas/carros-vans-e-utilitarios/corolla-gli-ano-2012-1028278699,2022-05-04,,mg,
1028269525,Fiat palio,72.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 39.900,Astolfo Dutra - DDD 32,"Hoje, 01:23",https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/fiat-palio-1028269525,2022-05-04,,mg,
