ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
1025780145,Honda FIT vendo ou troco por financiado,110.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 39.000,"Corumbá, Universitário - DDD 67","Hoje, 00:40",https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/honda-fit-vendo-ou-troco-por-financiado-1025780145,2022-05-04,,ms,2010
1028270878,Belina 01 ,99.999.999 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 8.000,"Campo Grande, Jardim Jockey Club - DDD 67","Hoje, 00:09",https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/belina-01-1028270878,2022-05-04,,ms,1980
1028269714,Van refrigerada 2009 ,100 km  |  Câmbio: Manual  |  Diesel  |  ,R$ 87.000,"Dourados, Jardim Flórida - DDD 67","Hoje, 00:05",https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/van-refrigerada-2009-1028269714,2022-05-04,,ms,2009
987475365,Carretinha com isolação térmica.,0 km  |  ,R$ 10.000,"Campo Grande, Chácara Cachoeira - DDD 67","Ontem, 23:52",https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/carretinha-com-isolacao-termica-987475365,2022-05-04,,ms,2017
1028267803,Onix LTZ 1.4 16/17 Automático ,91.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 65.000,"Campo Grande, Guanandi II - DDD 67","Ontem, 23:45",https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/onix-ltz-1-4-16-17-automatico-1028267803,2022-05-04,,ms,2017
1022017130,Nissan Frontier Attack,150.000 km  |  Câmbio: Manual  |  Diesel  |  ,R$ 105.000,Anastácio - DDD 67,"Ontem, 23:40",https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/nissan-frontier-attack-1022017130,2022-05-04,,ms,2013
1028236497,206 - parcelo 10x sem juros ,58.000 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 12.500,"Campo Grande, Residencial Oliveira - DDD 67","Ontem, 23:28",https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/206-parcelo-10x-sem-juros-1028236497,2022-05-04,,ms,
1008734604,"IPVA 2022 PAGO, Gol  12v.  1.0. Muito econômico 2019 baixo km ",56.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 50.000,"Dourados, Jardim Água Boa - DDD 67","Ontem, 23:14",https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ipva-2022-pago-gol-12v-1-0-muito-economico-2019-baixo-km-1008734604,2022-05-04,,ms,2019
1027314422,Vendo Hilux 2017,74.500 km  |  Câmbio: Automático  |  Flex  |  ,R$ 165.500,"Campo Grande, Jardim Paulista - DDD 67","Ontem, 23:07",https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vendo-hilux-2017-1027314422,2022-05-04,,ms,2017
1019893537,T-Cross Highline 1.4 Tsi modelo 2020,30.562 km  |  Câmbio: Automático  |  Flex  |  ,R$ 111.990,"Campo Grande, Guanandi - DDD 67","Ontem, 22:55",https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/t-cross-highline-1-4-tsi-modelo-2020-1019893537,2022-05-04,,ms,2020
1025750964,Oportunidade única Ford Focus,0 km  |  Câmbio: Manual  |  Flex  |  ,R$ 22.000,"Dourados, Altos do Indaiá - DDD 67","Ontem, 22:54",https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/oportunidade-unica-ford-focus-1025750964,2022-05-04,,ms,
1028263923,Prisma LT 1.4,50.500 km  |  Câmbio: Manual  |  Flex  |  ,R$ 62.900,"Campo Grande, Água Limpa Park - DDD 67","Ontem, 22:53",https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/prisma-lt-1-4-1028263923,2022-05-04,,ms,2018
1011443022,CORSA CLASSIC 1.0 LS COMPLETO 11/12!,104.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 25.800,"Campo Grande, Vila Bandeirante - DDD 67","Ontem, 22:52",https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/corsa-classic-1-0-ls-completo-11-12-1011443022,2022-05-04,,ms,2012
