ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
1028268746,Palio wekeend Adventure flex completa  ano 16.16,69.632 km  |  Câmbio: Manual  |  Flex  |  ,R$ 52.900,"Várzea Grande, Cristo Rei - DDD 65","Ontem, 23:55",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/palio-wekeend-adventure-flex-completa-ano-16-16-1028268746,2022-05-04,,mt,2016
1028268001,Uno way,98.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 28.500,"Várzea Grande, Novo Mundo - DDD 65","Ontem, 23:48",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/uno-way-1028268001,2022-05-04,,mt,
969237030,KADETT SLE AUTOMÁTICO MAIS NOVO DE MT,50.000 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 24.900,Barra do Bugres - DDD 65,"Ontem, 23:48",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/kadett-sle-automatico-mais-novo-de-mt-969237030,2022-05-04,,mt,1994
969246226,OMEGA CD 3.0 O MAIS NOVO DE MT. RARIDADE ,210.000 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 30.000,Barra do Bugres - DDD 65,"Ontem, 23:48",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/omega-cd-3-0-o-mais-novo-de-mt-raridade-969246226,2022-05-04,,mt,1994
1023629888,Honda City EX Sedan 1.5 - Flex Automático (2019/2019),23.094 km  |  Câmbio: Automático  |  Flex  |  ,R$ 88.889,"Várzea Grande, Ponte Nova - DDD 65","Ontem, 23:20",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/honda-city-ex-sedan-1-5-flex-automatico-2019-2019-1023629888,2022-05-04,,mt,2019
998277476,Honda Fit 1.5 16v LX CVT (Flex),76.095 km  |  Câmbio: Automático  |  Flex  |  ,R$ 86.999,"Várzea Grande, Ponte Nova - DDD 65","Ontem, 23:01",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/honda-fit-1-5-16v-lx-cvt-flex-998277476,2022-05-04,,mt,
1024368355,troller T4 3.0 2010 ,210.000 km  |  Câmbio: Manual  |  Diesel  |  ,R$ 93.500,Chapada dos Guimarães - DDD 65,"Ontem, 22:55",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/troller-t4-3-0-2010-1024368355,2022-05-04,,mt,2010
1028264278,Kia soul manual rodas aro 18 original ,123.097 km  |  Câmbio: Manual  |  Flex  |  ,R$ 44.900,"Várzea Grande, Cristo Rei - DDD 65","Ontem, 22:54",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/kia-soul-manual-rodas-aro-18-original-1028264278,2022-05-04,,mt,2012
1023738684,Toro Freedom 1.8 flex automatica,0 km  |  Câmbio: Automático  |  Flex  |  ,R$ 86.890,"Várzea Grande, Ponte Nova - DDD 65","Ontem, 22:52",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/toro-freedom-1-8-flex-automatica-1023738684,2022-05-04,,mt,2017
994101470,Duster Dynamique 4x2 1.6 Mecanico Hi-flex 2016/2017,83.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 62.870,"Cuiabá, Araés - DDD 65","Ontem, 22:50",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/duster-dynamique-4x2-1-6-mecanico-hi-flex-2016-2017-994101470,2022-05-04,,mt,2017
1028262016,Gol Mi 1.6,12.345 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 12.000,"Rondonópolis, Parque Residencial Buriti - DDD 66","Ontem, 22:47",https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/autos-e-pecas/carros-vans-e-utilitarios/gol-mi-1-6-1028262016,2022-05-04,,mt,1997
915251233,Hb20 vision 1.6 automatico 19/2020,55.400 km  |  Câmbio: Automático  |  Flex  |  ,R$ 72.500,Cuiabá - DDD 65,"Ontem, 22:45",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/hb20-vision-1-6-automatico-19-2020-915251233,2022-05-04,,mt,2020
967899825,FORD KA 2019/2020 1.0 TI-VCT FLEX SE MANUAL,7.486 km  |  Câmbio: Manual  |  Flex  |  ,R$ 56.370,"Várzea Grande, Ponte Nova - DDD 65","Ontem, 22:43",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2019-2020-1-0-ti-vct-flex-se-manual-967899825,2022-05-04,,mt,2020
948598829,GOL 2020/2021 1.0 12V MPI TOTALFLEX 4P MANUAL,62.588 km  |  Câmbio: Manual  |  Flex  |  ,R$ 55.400,"Cuiabá, Poção - DDD 65","Ontem, 22:43",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/gol-2020-2021-1-0-12v-mpi-totalflex-4p-manual-948598829,2022-05-04,,mt,2021
1008660259,ONIX 2019/2020 1.0 TURBO FLEX LTZ AUTOMÁTICO,62.978 km  |  Câmbio: Automático  |  Flex  |  ,R$ 82.990,"Cuiabá, Poção - DDD 65","Ontem, 22:43",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/onix-2019-2020-1-0-turbo-flex-ltz-automatico-1008660259,2022-05-04,,mt,2020
979515584,COMPASS 2020/2020 2.0 16V FLEX LONGITUDE AUTOMÁTICO,62.357 km  |  Câmbio: Automático  |  Flex  |  ,R$ 128.140,"Cuiabá, Poção - DDD 65","Ontem, 22:43",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/compass-2020-2020-2-0-16v-flex-longitude-automatico-979515584,2022-05-04,,mt,2020
1026884097,ONIX PLUS PREMIER I AUTOMÁTICO  1.0 TURBO FLEX POWER,56.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 90.000,Nobres - DDD 65,"Ontem, 22:37",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/onix-plus-premier-i-automatico-1-0-turbo-flex-power-1026884097,2022-05-04,,mt,2020
986287081,PRISMA ,70.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 49.900,"Cuiabá, Alvorada - DDD 65","Ontem, 22:35",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/prisma-986287081,2022-05-04,,mt,2017
969390893,MOBI XTREME 1.0 FLEX COMPLETO ,34.646 km  |  Câmbio: Manual  |  Flex  |  ,R$ 55.490,"Cuiabá, Lixeira - DDD 65","Ontem, 22:30",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/mobi-xtreme-1-0-flex-completo-969390893,2022-05-04,,mt,
1022004021,Corolla 2016 xei 2.0,157.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 88.000,"Cuiabá, Jardim Industriário - DDD 65","Ontem, 22:29",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/corolla-2016-xei-2-0-1022004021,2022-05-04,,mt,2016
1028254209,FORD RANGER XLT 4X2 2015,149.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 75.800,Nova Olímpia - DDD 65,"Ontem, 22:27",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/ford-ranger-xlt-4x2-2015-1028254209,2022-05-04,,mt,
1028249751,Celta 1.0  2013,11.111.111 km  |  ,,"Cuiabá, Coophamil - DDD 65","Ontem, 22:15",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/celta-1-0-2013-1028249751,2022-05-04,,mt,2013
1028249688,VENDO RARIDADE MARAJO ANO 80/81 A MAIS NOVA DE MT,86.000 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 20.000,Barra do Bugres - DDD 65,"Ontem, 22:15",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/vendo-raridade-marajo-ano-80-81-a-mais-nova-de-mt-1028249688,2022-05-04,,mt,1980
1024613445,onix lt 1.4 manual ,124.200 km  |  Câmbio: Manual  |  Flex  |  ,R$ 45.900,"Cuiabá, Lixeira - DDD 65","Ontem, 22:13",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/onix-lt-1-4-manual-1024613445,2022-05-04,,mt,2013
982575161,GOL 2020/2021 1.6 MSI TOTALFLEX 4P MANUAL,59.757 km  |  Câmbio: Manual  |  Flex  |  ,R$ 59.990,"Várzea Grande, Ponte Nova - DDD 65","Ontem, 22:13",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/gol-2020-2021-1-6-msi-totalflex-4p-manual-982575161,2022-05-04,,mt,2021
871730162,RENEGADE 2019/2019 1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO,49.897 km  |  Câmbio: Automático  |  Flex  |  ,R$ 92.120,"Várzea Grande, Ponte Nova - DDD 65","Ontem, 22:13",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/renegade-2019-2019-1-8-16v-flex-longitude-4p-automatico-871730162,2022-05-04,,mt,2019
971937838,VOLKSWAGEN VIRTUS AF 2020,28.712 km  |  Câmbio: Automático  |  Flex  |  ,R$ 84.900,"Várzea Grande, Ponte Nova - DDD 65","Ontem, 22:10",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-virtus-af-2020-971937838,2022-05-04,,mt,2020
1028247359,T-cross sense 2022,1.000 km  |  Câmbio: Automático  |  ,R$ 125.000,"Cuiabá, Poção - DDD 65","Ontem, 22:10",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/t-cross-sense-2022-1028247359,2022-05-04,,mt,2022
1015114177,Nissan Kicks CVT 2021/2022 -apenas 8.000 km ,8.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 99.990,"Cuiabá, Jardim Leblon - DDD 65","Ontem, 22:09",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/nissan-kicks-cvt-2021-2022-apenas-8-000-km-1015114177,2022-05-04,,mt,2022
1028246538,Polo MSI 1.6,44.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 60.900,"Cuiabá, Dom Aquino - DDD 65","Ontem, 22:08",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/polo-msi-1-6-1028246538,2022-05-04,,mt,
984817644,MONTANA 2019/2020 1.4 MPFI LS CS 8V FLEX 2P MANUAL,24.445 km  |  Câmbio: Manual  |  Flex  |  ,R$ 64.670,"Cuiabá, Poção - DDD 65","Ontem, 22:04",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/montana-2019-2020-1-4-mpfi-ls-cs-8v-flex-2p-manual-984817644,2022-05-04,,mt,2020
981043794,ONIX 2019/2020 1.0 TURBO FLEX LTZ AUTOMÁTICO,57.849 km  |  Câmbio: Automático  |  Flex  |  ,R$ 84.570,"Cuiabá, Poção - DDD 65","Ontem, 22:04",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/onix-2019-2020-1-0-turbo-flex-ltz-automatico-981043794,2022-05-04,,mt,2020
1028241933,Saveiro 1.6 Robust Completa TotalFlex ,58.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 52.900,"Cuiabá, Lixeira - DDD 65","Ontem, 22:00",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/saveiro-1-6-robust-completa-totalflex-1028241933,2022-05-04,,mt,2018
1017915066,UNO VIVACE 1.4 ,89.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 29.900,"Cuiabá, Alvorada - DDD 65","Ontem, 22:00",https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/uno-vivace-1-4-1017915066,2022-05-04,,mt,2011
