ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
1028285619,Van sprinter 313 16  ,198.756 km  |  Câmbio: Manual  |  Diesel  |  ,R$ 45.000,"Belém, Campina - DDD 91","Hoje, 02:17",https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/van-sprinter-313-16-1028285619,2022-05-04,,pa,2004
1022586727,Chevrolet Prisma LT automático único dono 2017,105.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 58.900,"Belém, Umarizal - DDD 91","Hoje, 02:10",https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-prisma-lt-automatico-unico-dono-2017-1022586727,2022-05-04,,pa,2017
1028281615,Vendo ou troco ,222 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 5.000,"Belém, Tapanã (Icoaraci) - DDD 91","Hoje, 01:41",https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/vendo-ou-troco-1028281615,2022-05-04,,pa,
1028278862,Top Sandero ,57.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 29.800,"Belém, Jurunas - DDD 91","Hoje, 01:24",https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/top-sandero-1028278862,2022-05-04,,pa,
1028278355,Ford ranger XLT flex ,28.550 km  |  Câmbio: Manual  |  Flex  |  ,R$ 93.000,"Altamira, Jardim Independente I - DDD 93","Hoje, 01:22",https://pa.olx.com.br/regiao-de-santarem/autos-e-pecas/carros-vans-e-utilitarios/ford-ranger-xlt-flex-1028278355,2022-05-04,,pa,2015
1028278229,Onix 2016 ,58.055 km  |  Câmbio: Manual  |  ,R$ 33.900,"Ananindeua, Guanabara - DDD 91","Hoje, 01:22",https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/onix-2016-1028278229,2022-05-04,,pa,2016
1028276999,Mobi easy on ,0 km  |  Câmbio: Manual  |  Flex  |  ,R$ 35.000,"Santarém, Prainha - DDD 93","Hoje, 01:14",https://pa.olx.com.br/regiao-de-santarem/autos-e-pecas/carros-vans-e-utilitarios/mobi-easy-on-1028276999,2022-05-04,,pa,2017
1027335779,JETTA 2.0 2013/13 CONFORTLINE AUTOMÁTICO ,100.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 80.000,"Belém, São Brás - DDD 91","Hoje, 01:11",https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/jetta-2-0-2013-13-confortline-automatico-1027335779,2022-05-04,,pa,2013
1018191748,"Palio elx 1.4 2008 economico,revisado, só pegar e rodar.",91.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 24.500,"Belém, Marco - DDD 91","Hoje, 01:06",https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/palio-elx-1-4-2008-economico-revisado-so-pegar-e-rodar-1018191748,2022-05-04,,pa,2008
1016324719,Vendo HB20 2014 lindo,115.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 43.000,"Belém, Marco - DDD 91","Hoje, 01:05",https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/vendo-hb20-2014-lindo-1016324719,2022-05-04,,pa,2014
1028274281,JETTA TSI 1.4 Turbo Automático ,173.500 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 45.000,Capitão Poço - DDD 91,"Hoje, 01:02",https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/jetta-tsi-1-4-turbo-automatico-1028274281,2022-05-04,,pa,
1028275675,Fiat strada 2015,59.856 km  |  Câmbio: Manual  |  ,R$ 32.800,"Tucuruí, Vila Permanente - DDD 94","Hoje, 01:00",https://pa.olx.com.br/regiao-de-maraba/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-2015-1028275675,2022-05-04,,pa,2015
1028271953,Jeep Compass Limited ,59.300 km  |  Câmbio: Automático  |  Flex  |  ,R$ 117.000,Castanhal - DDD 91,"Hoje, 00:23",https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-limited-1028271953,2022-05-04,,pa,2017
1028271720,VENDO,1.600 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 275.000,"Redenção, Planalto - DDD 94","Hoje, 00:18",https://pa.olx.com.br/regiao-de-maraba/autos-e-pecas/carros-vans-e-utilitarios/vendo-1028271720,2022-05-04,,pa,2022
1028270198,Nissan Frontier LE 18/18,50.000 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 167.000,"Ananindeua, Cidade Nova - DDD 91","Hoje, 00:07",https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/nissan-frontier-le-18-18-1028270198,2022-05-04,,pa,2018
1028270016,Van renault master,132.344 km  |  Câmbio: Manual  |  Diesel  |  ,R$ 70.000,"Belém, Campina - DDD 91","Hoje, 00:06",https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/van-renault-master-1028270016,2022-05-04,,pa,2016
976052117,Honda HR-V EXL 1.8,28.800 km  |  Câmbio: Automático  |  Flex  |  ,R$ 130.000,"Belém, Sacramenta - DDD 91","Ontem, 23:49",https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/honda-hr-v-exl-1-8-976052117,2022-05-04,,pa,2020
1028267829,Duster Oroch Dynamique 1.6 em breve!,48.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 87.900,"Santarém, Jardim Santarém - DDD 93","Ontem, 23:46",https://pa.olx.com.br/regiao-de-santarem/autos-e-pecas/carros-vans-e-utilitarios/duster-oroch-dynamique-1-6-em-breve-1028267829,2022-05-04,,pa,2019
1023564506,ONIX 2019/2019 1.0 MPFI LT 8V FLEX 4P MANUAL,64.113 km  |  Câmbio: Manual  |  Flex  |  ,R$ 61.310,"Marabá, Nova Marabá - DDD 94","Ontem, 23:38",https://pa.olx.com.br/regiao-de-maraba/autos-e-pecas/carros-vans-e-utilitarios/onix-2019-2019-1-0-mpfi-lt-8v-flex-4p-manual-1023564506,2022-05-04,,pa,2019
934668119,Gol 2016 1.0 1 mil de entrada Aércio Veículos wgn,79.985 km  |  Câmbio: Manual  |  Flex  |  ,R$ 41.900,"Belém, Marco - DDD 91","Ontem, 23:36",https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/gol-2016-1-0-1-mil-de-entrada-aercio-veiculos-wgn-934668119,2022-05-04,,pa,2016
998885676,OFERTA RELÂMPAGO!!! FIAT TORO 1.8 FREEDOM AUTOMÁTICO ANO 2018,45.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 89.900,"Belém, Telégrafo Sem Fio - DDD 91","Ontem, 23:30",https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/oferta-relampago-fiat-toro-1-8-freedom-automatico-ano-2018-998885676,2022-05-04,,pa,2018
1028245454,Honda hrv ,112.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 93.000,"Belém, Marambaia - DDD 91","Ontem, 23:28",https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/honda-hrv-1028245454,2022-05-04,,pa,2018
1028266374,HB20 1.6 automático premium ,28.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 65.300,"Itaituba, Comércio - DDD 93","Ontem, 23:23",https://pa.olx.com.br/regiao-de-santarem/autos-e-pecas/carros-vans-e-utilitarios/hb20-1-6-automatico-premium-1028266374,2022-05-04,,pa,2016
971899815,Civic EXL 2017 104.900 abaixo de fipe !! ,57.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 104.900,"Belém, Sacramenta - DDD 91","Ontem, 23:20",https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/civic-exl-2017-104-900-abaixo-de-fipe-971899815,2022-05-04,,pa,
1024050624,S10 LTZ 2018 Flex 4x4 automática - FZ Motors ,66.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 149.900,"Belém, Umarizal - DDD 91","Ontem, 23:12",https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/s10-ltz-2018-flex-4x4-automatica-fz-motors-1024050624,2022-05-04,,pa,
1003444641,Fiat Toro Turbo Flex 270 21/22 A Pronta Entrega ,0 km  |  Câmbio: Automático  |  Flex  |  ,R$ 146.490,"Redenção, Viviane - DDD 94","Ontem, 23:01",https://pa.olx.com.br/regiao-de-maraba/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-turbo-flex-270-21-22-a-pronta-entrega-1003444641,2022-05-04,,pa,
