ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
1028314710,CELTA LT 1.0 2012 completo extra!!,122.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 25.300,"Bayeux, Tambay - DDD 83","Hoje, 07:05",https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/celta-lt-1-0-2012-completo-extra-1028314710,2022-05-04,,pb,2012
1028311818,Vendo clio 2010,124.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 16.000,"Campina Grande, Palmeira Imperial - DDD 83","Hoje, 06:50",https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/vendo-clio-2010-1028311818,2022-05-04,,pb,
1027859411,Vende-se repasse JEEP/COMPASS LONGITUDE F 2017/2018 contrato em cartório,60.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 0,"João Pessoa, Centro - DDD 83","Hoje, 06:38",https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/vende-se-repasse-jeep-compass-longitude-f-2017-2018-contrato-em-cartorio-1027859411,2022-05-04,,pb,2018
1027857332,Vende-se repasse CHEVROLET/COBALT 1.4 LTZ 2013/2014 contrato em cartório,120.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 0,"João Pessoa, Centro - DDD 83","Hoje, 06:38",https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/vende-se-repasse-chevrolet-cobalt-1-4-ltz-2013-2014-contrato-em-cartorio-1027857332,2022-05-04,,pb,2014
1027852432,Vende-se repasse de um Jetta ano 2012 contrato em cartório,130.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 0,"João Pessoa, Centro - DDD 83","Hoje, 06:19",https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/vende-se-repasse-de-um-jetta-ano-2012-contrato-em-cartorio-1027852432,2022-05-04,,pb,2012
1028304192,Carro pra vender ou trocar em algo do meu interesse!,46 km  |  Câmbio: Manual  |  Flex  |  ,R$ 11.500,João Pessoa - DDD 83,"Hoje, 06:10",https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/carro-pra-vender-ou-trocar-em-algo-do-meu-interesse-1028304192,2022-05-04,,pb,
1028303763,Jetta tsi 2.0 ano 2016,91.000 km  |  Câmbio: Automático  |  Gasolina  |  ,,"João Pessoa, Planalto Boa Esperança - DDD 83","Hoje, 06:09",https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/jetta-tsi-2-0-ano-2016-1028303763,2022-05-04,,pb,2016
1028301396,Citroën c3,14.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 6.500,"Santa Rita, Várzea Nova - DDD 83","Hoje, 06:03",https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/citroen-c3-1028301396,2022-05-04,,pb,2005
1025764354,Vende-se FORD/FIESTA 1.6 FLEX - 2010/2011 no cartão até em 18x,120.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 22.990,"João Pessoa, Miramar - DDD 83","Hoje, 06:01",https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/vende-se-ford-fiesta-1-6-flex-2010-2011-no-cartao-ate-em-18x-1025764354,2022-05-04,,pb,2011
1005253835,Vende-se uma Chevrolet Tracker 2009 Extra  facilitamos seu financiamento,152.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 40.800,"João Pessoa, Centro - DDD 83","Hoje, 06:00",https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/vende-se-uma-chevrolet-tracker-2009-extra-facilitamos-seu-financiamento-1005253835,2022-05-04,,pb,2009
1019105170, BAIXEI-BAIXE SO HOJE NAO PEÇA MENOS,110.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 17.900,Cabedelo - DDD 83,"Hoje, 05:50",https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/baixei-baixe-so-hoje-nao-peca-menos-1019105170,2022-05-04,,pb,2010
1027928096,Chevrolet onix LT 2019/2019 ,60 km  |  Câmbio: Manual  |  Flex  |  ,R$ 55.000,"João Pessoa, Aeroclube - DDD 83","Hoje, 05:34",https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-lt-2019-2019-1027928096,2022-05-04,,pb,2019
975645196,"Honda City EXL, cinza, 2017, automático, completo",59.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 79.900,"Campina Grande, Três Irmãs - DDD 83","Hoje, 04:27",https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/honda-city-exl-cinza-2017-automatico-completo-975645196,2022-05-04,,pb,2017
1028279214,Pálio Essence 1.6 2012 Completo ,100.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 16.000,"Campina Grande, Três Irmãs - DDD 83","Hoje, 01:25",https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/palio-essence-1-6-2012-completo-1028279214,2022-05-04,,pb,2012
