ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
1007866076,Gran Siena Fiat 1.6 2017 Essence ,62.377 km  |  Câmbio: Semi-Automático  |  Flex  |  ,R$ 47.650,"Recife, Imbiribeira - DDD 81","Hoje, 08:28",https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/gran-siena-fiat-1-6-2017-essence-1007866076,2022-05-04,,pe,2017
1024006392,Honda Cr-v Lx 2.0,95.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 79.990,"Recife, Cordeiro - DDD 81","Hoje, 08:28",https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/honda-cr-v-lx-2-0-1024006392,2022-05-04,,pe,2013
1020619912,Toyota Yaris Automatico 2019,47.860 km  |  Câmbio: Automático  |  Flex  |  ,R$ 81.780,"Recife, Imbiribeira - DDD 81","Hoje, 08:27",https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/toyota-yaris-automatico-2019-1020619912,2022-05-04,,pe,2019
1005524464,ECOSPORT FSL 1.6 2014 IPVA 2022 PAGO ,1 km  |  Câmbio: Manual  |  Flex  |  ,R$ 52.990,"Jaboatão dos Guararapes, Prazeres - DDD 81","Hoje, 08:27",https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/ecosport-fsl-1-6-2014-ipva-2022-pago-1005524464,2022-05-04,,pe,2014
1026417159,Honda City 1.5 EX Flex 2020,16.418 km  |  Câmbio: Automático  |  Flex  |  ,R$ 97.900,"Recife, Curado - DDD 81","Hoje, 08:27",https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/honda-city-1-5-ex-flex-2020-1026417159,2022-05-04,,pe,2020
1025222924,Hyundai Creta 1.6 Smart Automático 2019,47.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 88.790,"Jaboatão dos Guararapes, Piedade - DDD 81","Hoje, 08:26",https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/hyundai-creta-1-6-smart-automatico-2019-1025222924,2022-05-04,,pe,2019
1015277305,vw spacefox trendline 1.6 msi flex manual 2019 ,62.858 km  |  Câmbio: Manual  |  Flex  |  ,R$ 53.990,"Jaboatão dos Guararapes, Piedade - DDD 81","Hoje, 08:26",https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/vw-spacefox-trendline-1-6-msi-flex-manual-2019-1015277305,2022-05-04,,pe,2019
987246329,POLO 2019/2020 1.6 MSI TOTAL FLEX AUTOMÁTICO,49.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 74.990,"Olinda, Sítio Novo - DDD 81","Hoje, 08:26",https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/polo-2019-2020-1-6-msi-total-flex-automatico-987246329,2022-05-04,,pe,2020
955714397,Voyage 2019 1.6 automatico top GNV G5 ,59.852 km  |  Câmbio: Automático  |  Flex  |  ,R$ 64.990,"Recife, Madalena - DDD 81","Hoje, 08:25",https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/voyage-2019-1-6-automatico-top-gnv-g5-955714397,2022-05-04,,pe,2019
949031469,Voyage 1.6 comfortline automatico 2019,59.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 65.900,"Recife, Casa Amarela - DDD 81","Hoje, 08:25",https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/voyage-1-6-comfortline-automatico-2019-949031469,2022-05-04,,pe,2019
904854689,Chevrolet Onix 2018 1.0 mpfi joy 8v flex 4p manual,55.900 km  |  Câmbio: Manual  |  Flex  |  ,R$ 49.900,"Recife, Madalena - DDD 81","Hoje, 08:25",https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2018-1-0-mpfi-joy-8v-flex-4p-manual-904854689,2022-05-04,,pe,2018
1026822522,Virtus 2019,79 km  |  Câmbio: Manual  |  Flex  |  ,R$ 72.900,"Recife, Zumbi - DDD 81","Hoje, 08:25",https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/virtus-2019-1026822522,2022-05-04,,pe,2019
977924127,Nissan - Frontier XE 2.5 4x2  Diesel- 2011,213.706 km  |  Câmbio: Manual  |  Diesel  |  ,R$ 75.990,"Recife, Madalena - DDD 81","Hoje, 08:25",https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/nissan-frontier-xe-2-5-4x2-diesel-2011-977924127,2022-05-04,,pe,2011
1010377336,HB20 1.0 2021 / Gustavo Viasul Arruda ,8.576 km  |  Câmbio: Manual  |  Flex  |  ,R$ 62.490,"Recife, Tamarineira - DDD 81","Hoje, 08:25",https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/hb20-1-0-2021-gustavo-viasul-arruda-1010377336,2022-05-04,,pe,2021
1027604258,HB20S 1.6 Aut. 2017,56.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 59.800,"Recife, Dois Irmãos - DDD 81","Hoje, 08:24",https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/hb20s-1-6-aut-2017-1027604258,2022-05-04,,pe,2017
964306167,Prisma 2018 1.0 Joy Completo com GNV,108.030 km  |  Câmbio: Manual  |  Flex  |  ,R$ 52.990,"Recife, Estância - DDD 81","Hoje, 08:24",https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/prisma-2018-1-0-joy-completo-com-gnv-964306167,2022-05-04,,pe,2018
980145373,HB20S  Comf. 1.0 2015,84.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 48.990,"Recife, Ipsep - DDD 81","Hoje, 08:24",https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/hb20s-comf-1-0-2015-980145373,2022-05-04,,pe,2015
1022145124,Kombi Lotação 9 lugares 2014,98.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 45.990,"Recife, Barro - DDD 81","Hoje, 08:24",https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/kombi-lotacao-9-lugares-2014-1022145124,2022-05-04,,pe,2014
1020065257,DOBLO 1.8 ESSENCE 2020 7 LUGARES A MAIS NOVA DO BRASIL ,65.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 73.990,"Recife, Encruzilhada - DDD 81","Hoje, 08:23",https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/doblo-1-8-essence-2020-7-lugares-a-mais-nova-do-brasil-1020065257,2022-05-04,,pe,2020
1001667183,VIRTUS 2020/2021 1.0 200 TSI COMFORTLINE AUTOMÁTICO,57.080 km  |  Câmbio: Manual  |  Flex  |  ,R$ 87.990,"Petrolina, Gercino Coelho - DDD 87","Hoje, 08:23",https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/autos-e-pecas/carros-vans-e-utilitarios/virtus-2020-2021-1-0-200-tsi-comfortline-automatico-1001667183,2022-05-04,,pe,2021
948695253,Nivus Comfortline 2022 pronta entrega ,0 km  |  Câmbio: Automático  |  Flex  |  ,R$ 124.990,Recife - DDD 81,"Hoje, 08:22",https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/nivus-comfortline-2022-pronta-entrega-948695253,2022-05-04,,pe,2022
