ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
994549903,Fox 1.6 conforteline 2018 53.500,48.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 53.500,"Teresina, Jóquei - DDD 86","Hoje, 09:01",https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/fox-1-6-conforteline-2018-53-500-994549903,2022-05-04,,pi,2018
974224941,Nissan March SV 1.0 2020 IPVA pago e baixa Km  ,14.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 56.000,"Teresina, Jóquei - DDD 86","Hoje, 09:00",https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/nissan-march-sv-1-0-2020-ipva-pago-e-baixa-km-974224941,2022-05-04,,pi,2020
1013086096,Renault Sandero Authentique 1.0 3 cilindros 2017,79.500 km  |  Câmbio: Manual  |  Flex  |  ,R$ 42.900,"Teresina, Jóquei - DDD 86","Hoje, 08:59",https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/renault-sandero-authentique-1-0-3-cilindros-2017-1013086096,2022-05-04,,pi,2017
1025869239,VW Gol 1.6 2019/2020,56.800 km  |  Câmbio: Manual  |  Flex  |  ,R$ 58.000,"Teresina, São Pedro - DDD 86","Hoje, 08:58",https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/vw-gol-1-6-2019-2020-1025869239,2022-05-04,,pi,2020
1028340150,Chevrolet Spin LT 13/14 - 5 lugares - manual,120.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 34.000,"Teresina, Tabajaras - DDD 86","Hoje, 08:56",https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-spin-lt-13-14-5-lugares-manual-1028340150,2022-05-04,,pi,2014
1025367241,RANGER   DIESEL  4/ 4   AUTOMATICA   2018,73.000 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 160.000,"Teresina, Saci - DDD 86","Hoje, 08:55",https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/ranger-diesel-4-4-automatica-2018-1025367241,2022-05-04,,pi,2018
994588081,CrossFox 1.6 ano 2014/2014 ,104.222 km  |  Câmbio: Manual  |  Flex  |  ,R$ 48.999,"Teresina, Vermelha - DDD 86","Hoje, 08:53",https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/crossfox-1-6-ano-2014-2014-994588081,2022-05-04,,pi,2014
1028317592,BMW 320i ,89.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 110.000,"Teresina, Gurupi - DDD 86","Hoje, 08:43",https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/bmw-320i-1028317592,2022-05-04,,pi,2014
994102958,Logan 1.6 expression ano 2018/2019 ,66.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 49.900,"Teresina, Vale Quem Tem - DDD 86","Hoje, 08:37",https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/logan-1-6-expression-ano-2018-2019-994102958,2022-05-04,,pi,2019
1018799634,Celta 1.0 ano 2009/2010 ,200.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 22.000,"Teresina, Vale Quem Tem - DDD 86","Hoje, 08:37",https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/celta-1-0-ano-2009-2010-1018799634,2022-05-04,,pi,2010
