ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
1028027020,Spin 1.8 ltz automático 07 lugares muito nova ,70.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 67.900,"Niterói, Piratininga - DDD 21","Hoje, 13:01",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/spin-1-8-ltz-automatico-07-lugares-muito-nova-1028027020,2022-05-03,,,2017
1020036937,BMW X4 2015 blindada ,65.000 km  |  Câmbio: Automático  |  ,R$ 198.000,"Rio de Janeiro, Recreio dos Bandeirantes - DDD 21","Hoje, 13:00",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/bmw-x4-2015-blindada-1020036937,2022-05-03,,,2015
858616681,COROLLA 2014/2015 2.0 XEI 16V FLEX 4P AUTOMÁTICO,92.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 83.900,"Volta Redonda, Aterrado - DDD 24","Hoje, 13:00",https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/corolla-2014-2015-2-0-xei-16v-flex-4p-automatico-858616681,2022-05-03,,,2015
960338338,FORD KA 2019/2020 1.5 TI-VCT FLEX SE MANUAL,50.678 km  |  Câmbio: Manual  |  Flex  |  ,R$ 59.360,"Niterói, Baldeador - DDD 21","Hoje, 13:00",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2019-2020-1-5-ti-vct-flex-se-manual-960338338,2022-05-03,,,2020
701672679,Chevrolet Onix 2019 1.0 mpfi lt 8v flex 4p manual,19.732 km  |  Câmbio: Manual  |  Flex  |  ,R$ 54.990,"Duque de Caxias, Parque Duque - DDD 21","Hoje, 13:00",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2019-1-0-mpfi-lt-8v-flex-4p-manual-701672679,2022-05-03,,,2019
997530828,"Kwid Zen 1.0 2020 + GNV (Entrada até 10 mil +48x 1199,00 Parcelas CDC Fixas))",0 km  |  Câmbio: Manual  |  Flex  |  ,R$ 45.900,"Rio de Janeiro, Realengo - DDD 21","Hoje, 13:00",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/kwid-zen-1-0-2020-gnv-entrada-ate-10-mil-48x-1199-00-parcelas-cdc-fixas-997530828,2022-05-03,,,2020
980434553,Pajero Sport 2.4 Diesel HPES  4x4,8 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 389.990,"Rio de Janeiro, Centro - DDD 21","Hoje, 13:00",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/pajero-sport-2-4-diesel-hpes-4x4-980434553,2022-05-03,,,2022
1026024605,Nissan Sentra 2020 2.0 sv 16v flexstart 4p automático,0 km  |  Câmbio: Automático  |  Gás Natural  |  ,R$ 88.900,"Rio de Janeiro, Campo Grande - DDD 21","Hoje, 13:00",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/nissan-sentra-2020-2-0-sv-16v-flexstart-4p-automatico-1026024605,2022-05-03,,,2020
1026016441,Chevrolet Prisma 2019 1.0 mpfi joy 8v flex 4p manual,0 km  |  Câmbio: Manual  |  Flex  |  ,R$ 51.900,"Rio de Janeiro, Campo Grande - DDD 21","Hoje, 13:00",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-prisma-2019-1-0-mpfi-joy-8v-flex-4p-manual-1026016441,2022-05-03,,,2019
969440895,Kia Sportage 2014 2.0 ex 4x2 16v flex 4p automático,100.000 km  |  Câmbio: Automático  |  Gás Natural  |  ,R$ 73.900,"São João de Meriti, Centro - DDD 21","Hoje, 13:00",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/kia-sportage-2014-2-0-ex-4x2-16v-flex-4p-automatico-969440895,2022-05-03,,,2014
