ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
1005032238,Uno way 2013,107.452 km  |  Câmbio: Manual  |  Flex  |  ,R$ 31.499,"Parnamirim, Emaús - DDD 84","Ontem, 17:44",https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/uno-way-2013-1005032238,2022-05-03,,,2013
969827625,Honda HR-V Ex Cvt,31.338 km  |  Câmbio: Automático  |  Flex  |  ,R$ 116.900,"Natal, Candelária - DDD 84","Ontem, 17:43",https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/honda-hr-v-ex-cvt-969827625,2022-05-03,,,2019
1005127252,Gol Trendline 1.0 MPI 2017/2018 | Promoção de 5%OFF do Valor total do Veiculo!! ,11.604 km  |  Câmbio: Manual  |  Flex  |  ,R$ 55.000,Caicó - DDD 84,"Ontem, 17:43",https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/gol-trendline-1-0-mpi-2017-2018-promocao-de-5-off-do-valor-total-do-veiculo-1005127252,2022-05-03,,,2018
1015042454,Fox Connect MSI 1.6 Manual 2018/2018 | Oportunidade Única!! ,50.259 km  |  Câmbio: Manual  |  Flex  |  ,R$ 59.990,Caicó - DDD 84,"Ontem, 17:43",https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/fox-connect-msi-1-6-manual-2018-2018-oportunidade-unica-1015042454,2022-05-03,,,
928710186,Toyota Corolla XEi 2.0 Flex 16V Aut.,45.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 109.990,"Mossoró, Santo Antônio - DDD 84","Ontem, 17:43",https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-xei-2-0-flex-16v-aut-928710186,2022-05-03,,,2019
1027665249,Selvagem  ano 1972,1 km  |  ,R$ 25.000,"Natal, Lagoa Nova - DDD 84","Ontem, 17:43",https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/selvagem-ano-1972-1027665249,2022-05-03,,,1975
1027664772,City LX 1.5 automático ,149.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 49.900,"Natal, Neópolis - DDD 84","Ontem, 17:42",https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/city-lx-1-5-automatico-1027664772,2022-05-03,,,2013
1027664038,Vendo ronda civic 2011,92.000 km  |  Flex  |  ,R$ 48.900,Caraúbas - DDD 84,"Ontem, 17:39",https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/vendo-ronda-civic-2011-1027664038,2022-05-03,,,2011
1027663647,"Strada cabine dupla Adventure, super conservada",144.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 45.900,"Natal, Lagoa Nova - DDD 84","Ontem, 17:38",https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/strada-cabine-dupla-adventure-super-conservada-1027663647,2022-05-03,,,2015
1027663243,Kombi home ,3.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 38.000,Tibau do Sul - DDD 84,"Ontem, 17:37",https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/kombi-home-1027663243,2022-05-03,,,2008
1023500832,Bmw 320i 2.0 16v Turbo Sport,18.000 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 229.900,"Natal, Neópolis - DDD 84","Ontem, 17:37",https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/bmw-320i-2-0-16v-turbo-sport-1023500832,2022-05-03,,,2020
1008233462,Rav4,57.800 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 98.900,"Natal, Capim Macio - DDD 84","Ontem, 17:37",https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/rav4-1008233462,2022-05-03,,,2015
991143043,JOY BLACK 2021/21,31.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 63.000,"Parnamirim, Emaús - DDD 84","Ontem, 17:36",https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/joy-black-2021-21-991143043,2022-05-03,,,2021
1008649111,Captur 2021 ,29.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 89.500,"Natal, Tirol - DDD 84","Ontem, 17:36",https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/captur-2021-1008649111,2022-05-03,,,2021
1011250834,Corolla Gli Upper,56.811 km  |  Câmbio: Automático  |  Flex  |  ,R$ 103.990,"Natal, Candelária - DDD 84","Ontem, 17:35",https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/corolla-gli-upper-1011250834,2022-05-03,,,2019
1021748107,Palio Atractive 1.0,100.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 38.900,"Natal, Igapó - DDD 84","Ontem, 17:35",https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/palio-atractive-1-0-1021748107,2022-05-03,,,2015
1027660803,Vendo carro marca voyage ,16.540 km  |  Câmbio: Manual  |  Flex  |  ,R$ 26.500,"São Gonçalo do Amarante, Olho D'agua - DDD 84","Ontem, 17:32",https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/vendo-carro-marca-voyage-1027660803,2022-05-03,,,2010
1024077248,STRADA CD 1.4 2013 ( MUITO NOVA ),122.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 59.900,"Natal, Neópolis - DDD 84","Ontem, 17:30",https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/strada-cd-1-4-2013-muito-nova-1024077248,2022-05-03,,,2013
1027659492,Peugeot 207 XR sport 1.4 Flex ,111.179 km  |  Câmbio: Manual  |  Flex  |  ,R$ 24.000,Santa Cruz - DDD 84,"Ontem, 17:29",https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/peugeot-207-xr-sport-1-4-flex-1027659492,2022-05-03,,,
