ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
1028366454,Fiat Toro Freedom Flex 2017,112.000 km  |  Câmbio: Automático  |  Flex  |  ,,Rolim de Moura - DDD 69,"Hoje, 10:10",https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-freedom-flex-2017-1028366454,2022-05-04,,ro,2017
971427187,FIAT TORO 2019/2020 1.8 16V EVO FLEX FREEDOM AT6,59.787 km  |  Câmbio: Automático  |  Flex  |  ,R$ 109.270,"Porto Velho, Lagoa - DDD 69","Hoje, 10:07",https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-2019-2020-1-8-16v-evo-flex-freedom-at6-971427187,2022-05-04,,ro,2020
1000627723,FIAT TORO 2019/2020 1.8 16V EVO FLEX FREEDOM AT6,58.344 km  |  Câmbio: Automático  |  Flex  |  ,R$ 106.770,"Porto Velho, Lagoa - DDD 69","Hoje, 09:57",https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-2019-2020-1-8-16v-evo-flex-freedom-at6-1000627723,2022-05-04,,ro,2020
1011991333,Eco Sport Titanium 2019 automática novissima,29.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 84.900,"Cacoal, Village do Sol - DDD 69","Hoje, 09:54",https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/eco-sport-titanium-2019-automatica-novissima-1011991333,2022-05-04,,ro,2019
1010350306,SAVEIRO 2015/2015 1.6 CROSS CD 16V FLEX 2P MANUAL,80.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 77.900,"Porto Velho, São Cristóvão - DDD 69","Hoje, 09:54",https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/saveiro-2015-2015-1-6-cross-cd-16v-flex-2p-manual-1010350306,2022-05-04,,ro,2015
1028355909,Vendo prisma preto única dona em perfeito estado!,44.367 km  |  Câmbio: Manual  |  Flex  |  ,R$ 69.000,"Porto Velho, Esperança da Comunidade - DDD 69","Hoje, 09:41",https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/vendo-prisma-preto-unica-dona-em-perfeito-estado-1028355909,2022-05-04,,ro,2018
1023873535,Saveiro Pepper 1.6 impecável. Não encontra outra estado de Rondônia.q ,54.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 80.000,Costa Marques - DDD 69,"Hoje, 09:35",https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/saveiro-pepper-1-6-impecavel-nao-encontra-outra-estado-de-rondonia-q-1023873535,2022-05-04,,ro,2018
1024251531,HB 20 1.0 - 18.500 km - Comfort Plus,18.500 km  |  Câmbio: Manual  |  Flex  |  ,R$ 47.500,"Porto Velho, Embratel - DDD 69","Hoje, 09:30",https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/hb-20-1-0-18-500-km-comfort-plus-1024251531,2022-05-04,,ro,
1002648729,CRUZE 2019/2019 1.4 TURBO LT 16V FLEX 4P AUTOMÁTICO,56.554 km  |  Câmbio: Automático  |  Flex  |  ,R$ 96.800,"Porto Velho, Lagoa - DDD 69","Hoje, 09:28",https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/cruze-2019-2019-1-4-turbo-lt-16v-flex-4p-automatico-1002648729,2022-05-04,,ro,2019
1028349291,Audi A3 2018 ,21.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 125.000,"Porto Velho, Agenor de Carvalho - DDD 69","Hoje, 09:15",https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/audi-a3-2018-1028349291,2022-05-04,,ro,2018
1028347907,Up! Move 2018,20.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 57.000,Rolim de Moura - DDD 69,"Hoje, 09:13",https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/up-move-2018-1028347907,2022-05-04,,ro,2018
1024493860,toyota/corolla altis hibrido 1.8 at,24.517 km  |  Híbrido  |  ,R$ 180.000,"Porto Velho, Eldorado - DDD 69","Hoje, 08:57",https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-altis-hibrido-1-8-at-1024493860,2022-05-04,,ro,2022
1027897054,VENDA DE VEÍCULO ,75.284 km  |  Câmbio: Manual  |  Flex  |  ,R$ 67.000,"Porto Velho, Nova Porto Velho - DDD 69","Hoje, 08:49",https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/venda-de-veiculo-1027897054,2022-05-04,,ro,2016
1028338464,HONDA CIVIC SEDAN,102.941 km  |  Câmbio: Automático  |  Flex  |  ,R$ 50.000,"Ji-Paraná, União - DDD 69","Hoje, 08:47",https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-sedan-1028338464,2022-05-04,,ro,
1025871199,Carro Saveiro G5 - Quitada e Super Conservada!,79.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 48.000,"Porto Velho, Nossa Senhora das Graças - DDD 69","Hoje, 08:44",https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/carro-saveiro-g5-quitada-e-super-conservada-1025871199,2022-05-04,,ro,
1010790312,SANDERO 2019/2020 1.6 16V SCE FLEX STEPWAY ZEN MANUAL,69.203 km  |  Câmbio: Manual  |  Flex  |  ,R$ 65.210,"Porto Velho, Lagoa - DDD 69","Hoje, 08:36",https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/sandero-2019-2020-1-6-16v-sce-flex-stepway-zen-manual-1010790312,2022-05-04,,ro,2020
