ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
1028399827,Palio Fire 2009 Completo,111.111 km  |  Câmbio: Manual  |  Flex  |  ,R$ 20.000,"Boa Vista, Jardim Caranã - DDD 95","Hoje, 11:38",https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/palio-fire-2009-completo-1028399827,2022-05-04,,rr,
1006482630,T Cross única dona !!!!,48.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 110.000,"Boa Vista, Caçari - DDD 95","Hoje, 11:36",https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/t-cross-unica-dona--1006482630,2022-05-04,,rr,
967931087,VENDE-SE JEEP/COMPASS 2019 DIESEL 4X4 AUTOMÁTICO SUPER CONSERVADO SEM DETALHES.,40.000 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 155.000,"Boa Vista, São Francisco - DDD 95","Hoje, 11:33",https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vende-se-jeep-compass-2019-diesel-4x4-automatico-super-conservado-sem-detalhes-967931087,2022-05-04,,rr,2019
1028395215,vende-se S-10 ,90.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 95.000,"Boa Vista, Caranã - DDD 95","Hoje, 11:27",https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vende-se-s-10-1028395215,2022-05-04,,rr,2015
1028393463,Caminhonete,2.230.132 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 40.000,"Boa Vista, Pricumã - DDD 95","Hoje, 11:24",https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/caminhonete-1028393463,2022-05-04,,rr,1997
1028393288,Strada motor fare,92.000 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 11.800,"Boa Vista, Nova Cidade - DDD 95","Hoje, 11:24",https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/strada-motor-fare-1028393288,2022-05-04,,rr,2005
1021158936,Logan 2014 Completo,124.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 32.000,"Boa Vista, São Vicente - DDD 95","Hoje, 11:24",https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/logan-2014-completo-1021158936,2022-05-04,,rr,
1028391927,Corolla GLI 1.8 13/14,121.500 km  |  Câmbio: Automático  |  Flex  |  ,R$ 62.500,"Boa Vista, Caimbé - DDD 95","Hoje, 11:22",https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/corolla-gli-1-8-13-14-1028391927,2022-05-04,,rr,2014
1002145320,COBALT 1.8 LTZ,248.232 km  |  Câmbio: Manual  |  Flex  |  ,,"Boa Vista, Mecejana - DDD 95","Hoje, 11:17",https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/cobalt-1-8-ltz-1002145320,2022-05-04,,rr,2014
1022405922,MOBI DRIVE 1.0 2020/2020,25.948 km  |  Câmbio: Manual  |  Flex  |  ,R$ 56.900,"Boa Vista, Buritis - DDD 95","Hoje, 11:10",https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/mobi-drive-1-0-2020-2020-1022405922,2022-05-04,,rr,2020
1028388104,ECO ESPORT FREESTYLE  1.6,150.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 34.800,"Boa Vista, Raiar do Sol - DDD 95","Hoje, 11:07",https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/eco-esport-freestyle-1-6-1028388104,2022-05-04,,rr,2011
1028383316,Prisma LT 1.4 completo automático 2015/15,89.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 58.000,"Boa Vista, Pricumã - DDD 95","Hoje, 11:01",https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/prisma-lt-1-4-completo-automatico-2015-15-1028383316,2022-05-04,,rr,2015
1028379672,Onix LT 1.0 2016/2016 ,120.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 49.900,"Boa Vista, Cidade Satélite - DDD 95","Hoje, 10:57",https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/onix-lt-1-0-2016-2016-1028379672,2022-05-04,,rr,
