ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
1028449928,KIA CERATO,0 km  |  Câmbio: Manual  |  Flex  |  ,R$ 34.500,"Aracaju, Santos Dumont - DDD 79","Hoje, 13:42",https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/kia-cerato-1028449928,2022-05-04,,se,
1010227114,Caoa Chery Arrizo 6PRO 1.5 TB 2022 AT,2.720 km  |  Câmbio: Automático  |  Flex  |  ,R$ 134.990,"Aracaju, Getúlio Vargas - DDD 79","Hoje, 13:33",https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/caoa-chery-arrizo-6pro-1-5-tb-2022-at-1010227114,2022-05-04,,se,2021
1028419454,Frontier 18/18,80.000 km  |  ,R$ 165.000,"Aracaju, Farolândia - DDD 79","Hoje, 13:31",https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/frontier-18-18-1028419454,2022-05-04,,se,2018
1028411789,RANGER XLS 20/20,32.000 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 185.000,"Aracaju, Jardins - DDD 79","Hoje, 13:31",https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/ranger-xls-20-20-1028411789,2022-05-04,,se,2020
1011025910,ECOSPORT 2.0 FREESTYLE AUTOMÁTICA 2015 NOVA DEMAIS,57.125 km  |  Câmbio: Automático  |  Flex  |  ,R$ 60.000,"Aracaju, Centro - DDD 79","Hoje, 13:30",https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/ecosport-2-0-freestyle-automatica-2015-nova-demais-1011025910,2022-05-04,,se,2015
1017434063,Kyron 2.7 4x4 Diesel 2011,127.000 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 50.000,"Aracaju, São José - DDD 79","Hoje, 13:30",https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/kyron-2-7-4x4-diesel-2011-1017434063,2022-05-04,,se,2011
1028449124,Chevrolet Astra 2.0 2010,70.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 25.000,"Aracaju, Farolândia - DDD 79","Hoje, 13:27",https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-astra-2-0-2010-1028449124,2022-05-04,,se,2010
1028448504,Vendo Fiat Mobi 2018 ,19.997 km  |  ,R$ 45.500,Lagarto - DDD 79,"Hoje, 13:23",https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/vendo-fiat-mobi-2018-1028448504,2022-05-04,,se,2018
1028448464,Focus 2006,100.000 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 15.000,"Aracaju, América - DDD 79","Hoje, 13:23",https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/focus-2006-1028448464,2022-05-04,,se,2006
1028448223,Corsa Classic 1.6 direcao hidráulica mpf ano96,0 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 8.500,Aracaju - DDD 79,"Hoje, 13:23",https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/corsa-classic-1-6-direcao-hidraulica-mpf-ano96-1028448223,2022-05-04,,se,
