ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
1028437819,HB20 Lindo. 2ª Dona. Baixa Km,24.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 56.000,Mongaguá - DDD 13,"Hoje, 13:05",https://sp.olx.com.br/baixada-santista-e-litoral-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-lindo-2-dona-baixa-km-1028437819,2022-05-04,,sp,2019
1028437809,Tracker - LTZ com Teto solar,89.500 km  |  Câmbio: Automático  |  Flex  |  ,R$ 76.900,Quatá - DDD 18,"Hoje, 13:05",https://sp.olx.com.br/regiao-de-presidente-prudente/autos-e-pecas/carros-vans-e-utilitarios/tracker-ltz-com-teto-solar-1028437809,2022-05-04,,sp,2015
1028437789,Kia Soul EX 1.6 Flex Manual 2012 Completo - Aceito troca.,134.000 km  |  Câmbio: Manual  |  Flex  |  ,,"Jacareí, Centro - DDD 12","Hoje, 13:05",https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/autos-e-pecas/carros-vans-e-utilitarios/kia-soul-ex-1-6-flex-manual-2012-completo-aceito-troca-1028437789,2022-05-04,,sp,2012
1026012323,Hilux srv 4x4 diesel completa ,328.000 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 125.000,"Presidente Prudente, Parque São Judas Tadeu - DDD 18","Hoje, 13:05",https://sp.olx.com.br/regiao-de-presidente-prudente/autos-e-pecas/carros-vans-e-utilitarios/hilux-srv-4x4-diesel-completa-1026012323,2022-05-04,,sp,2010
1028437727,Ford fiesta 1.0 com ar condicionado,273.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 18.000,"Campinas, Jardim Santa Lúcia - DDD 19","Hoje, 13:05",https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/ford-fiesta-1-0-com-ar-condicionado-1028437727,2022-05-04,,sp,
1028437685,L200 gls 2003 4x4 diesel ,190.000 km  |  Câmbio: Manual  |  Diesel  |  ,R$ 42.000,São José do Barreiro - DDD 12,"Hoje, 13:05",https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/autos-e-pecas/carros-vans-e-utilitarios/l200-gls-2003-4x4-diesel-1028437685,2022-05-04,,sp,2003
1028437565,celta 1.0 gasolina (mpfi) 2p,165.366 km  |  Câmbio: Manual  |  ,R$ 11.600,"Diadema, Centro - DDD 11","Hoje, 13:05",https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/celta-1-0-gasolina-mpfi-2p-1028437565,2022-05-04,,sp,
1028437534,City LX 1.5 CVT (Flex) 2015,60.000 km  |  ,R$ 50.900,"São Paulo, Brás - DDD 11","Hoje, 13:05",https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/city-lx-1-5-cvt-flex-2015-1028437534,2022-05-04,,sp,
1028437496,chevrolet corsa hatch 1.4 ,91.174 km  |  ,R$ 23.500,"Guarulhos, Conjunto Marcos Freire - DDD 11","Hoje, 13:05",https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-corsa-hatch-1-4-1028437496,2022-05-04,,sp,
1028437480,CLASSIC 2013 LS 1.0/VHCE/FLEXPOWER ,119.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 27.990,"Sumaré, Jardim Macarenko - DDD 19","Hoje, 13:05",https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/classic-2013-ls-1-0-vhce-flexpower-1028437480,2022-05-04,,sp,2013
